Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1471550271.682	     4.088	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod028
19	:	1471550271.718	     4.537	0	1907	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/isnd27280am3
17	:	1471550271.714	     4.546	0	1947	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/ocd3203367065np1
18	:	1471550271.716	     4.564	0	1947	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/ocd3285162950oc1
2	:	1471550271.684	     4.608	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod139
8	:	1471550271.697	     4.599	0	1927	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/lgsnd38174bhb3
12	:	1471550271.705	     4.597	0	1947	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/ocd2179978710ms1
14	:	1471550271.709	     4.609	0	1947	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/ocd2703518077nm1
6	:	1471550271.694	     4.634	0	1907	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/isnd29197bk2
7	:	1471550271.696	     4.669	0	1907	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/isnd29198bk3
4	:	1471550271.689	     4.682	0	1907	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/isnd29056bf3
20	:	1471550271.720	     4.657	0	1897	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/isnd25073u2
16	:	1471550271.712	     4.680	0	1947	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/ocd3106486968nk1
5	:	1471550271.691	     4.706	0	1907	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/isnd29113bh3
9	:	1471550271.699	     4.703	0	1927	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/lgsnd38277bhd2
10	:	1471550271.701	     4.703	0	1927	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/lgsnd39455bhu3
13	:	1471550271.707	     4.703	0	1947	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/ocd2246577277mn1
15	:	1471550271.711	     4.704	0	1947	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/ocd2974490281mx1
3	:	1471550271.686	     4.736	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod140
11	:	1471550271.703	     4.723	0	1927	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/lgsnd39605ajj3
21	:	1471550275.774	     4.253	0	1917	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/lgsnd36162lc2
31	:	1471550276.375	     3.753	0	1947	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/ocd4001133344mv1
27	:	1471550276.305	     3.973	0	1957	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/lgsepgp016253ahe2
39	:	1471550276.427	     3.865	0	1907	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/isnd33999et3
23	:	1471550276.265	     4.032	0	1927	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/pvhnd40501bij3
29	:	1471550276.333	     3.969	0	1947	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/ocd4001129436nf1
40	:	1471550276.432	     3.927	0	1907	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/isnd36497fz3
32	:	1471550276.381	     4.006	0	1947	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/ocd4001134134nc1
24	:	1471550276.284	     4.107	0	1947	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/ocd9984911750nb1
26	:	1471550276.300	     4.141	0	1957	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/lgsepgp016342bhu2
35	:	1471550276.404	     4.042	0	1907	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/isnd31817dm2
